eventID,time_start,time_end,Duration,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Invention,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,Wars,World,diffCat,NumYearStart,NumYearEnd
0,4500 BC,1900 BC,2600,Sumer,,Sumer,,10,,,,,,,,,,,,,,,,,,,,,,H,-4500,-1900
1,3000 BC,858 BC,,Egyptian Empire,Defeated by Assyrian invasion and succeeded by them.,,,6,,,,,,,,,,,,,,,,,,,,,,M,-3000,-858
2,2500 BC,911 BC,1589,Assyria,"The timeframe of the Assyrian Empire is generally considered to be from around 2025 BCE (Before Common Era) to 609 BCE, when the empire was conquered by the Babylonians and the Medes.",Assyria,,10,,,,,,,,,,,,,,,,,,,,,,H,-2500,-911
3,2334 BC,2154 BC,180,Akkadian Empire,,Akkadian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-2334,-2154
4,1900 BC,1600 BC,300,Babylonian Empire,,Babylonian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-1900,-1600
5,1600 BC,1046 BC,554,Shang dynasty,,Shang dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,-1600,-1046
6,1550 BC,1077 BC,473,Egyptian Empire,,Egyptian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-1550,-1077
7,1500 BC,1300 BC,200,Kingdom of Mitanni,,Kingdom of Mitanni,,10,,,,,,,,,,,,,,,,,,,,,,H,-1500,-1300
8,1460 BC,1180 BC,280,Hittite Empire,,Hittite Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-1460,-1180
9,1210 BC,1100 BC,110,Elamite Empire,,Elamite Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-1210,-1100
10,1070 BC,350,1420,Kingdom of Kush,,Kingdom of Kush,,10,,,,,,,,,,,,,,,,,,,,,,H,-1070,350
11,1050 BC,586 BC,464,Kingdom of Judah (united monarchy),,Kingdom of Judah (united monarchy),,10,,,,,,,,,,,,,,,,,,,,,,H,-1050,-586
12,1047 BC,930 BC,117,Kingdom of Israel (united monarchy),,Kingdom of Israel (united monarchy),,10,,,,,,,,,,,,,,,,,,,,,,H,-1047,-930
13,1046 BC,256 BC,790,Zhou dynasty,,Zhou dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,-1046,-256
14,911 BC,609 BC,302,Neo-Assyrian Empire,,Neo-Assyrian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-911,-609
15,900 BC,200 BC,700,Chav n Empire,,Chav n Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-900,-200
16,858 BC,612 BC,,Assyrian Empire,Nineveh destroyed by Medes and Babylonians in 612 BC then defeated by Babylonians.,,,6,,,,,,,,,,,,,,,,,,,,,,M,-858,-612
17,814 BC,146 BC,668,Carthaginian Empire,,Carthaginian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-814,-146
18,626 BC,539 BC,87,Neo-Babylonian Empire,,Neo-Babylonian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-626,-539
19,625 BC,549 BC,76,Median Empire,,Median Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-625,-549
20,605 BC,539 BC,,Babylonian Empire,"Begun by Nebuchadnezzar, ended by Medes and Persians.",,,6,,,,,,,,,,,,,,,,,,,,,,M,-605,-539
21,550 BC,330 BC,220,Achaemenid Empire,,Achaemenid Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-550,-330
22,539 BC ,532 BC,,Media-Persian Empire,Together with Medes destroyed Babylon.   Established by Cyrus the Great.   Ended by defeat at hands of Alexander.,,,8,,,,,,,,,,,,,,,,,,,,,,H,-539,-532
23,500 BC,1759,2259,Pandyan dynasty,,Pandyan dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,-500,1759
24,450 BC,350 BC,100,Nanda Empire,,Nanda Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-450,-350
25,400 BC,1729,2129,Chera dynasty,,Chera dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,-400,1729
26,400 BC,1540,1940,Chola empire,,Chola empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-400,1540
27,334 BC,323 BC,11,Macedonian Empire,,Macedonian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-334,-323
28,331 BC,31 BC,,Grecian Empire,Alexander defeated the Persians and established Greek world rule.   Ended by Roman,,,6,,,,,,,,,,,,,,,,,,,,,,M,-331,-31
